link,abstract
/doi/10.1287/mnsc.2021.3967," This paper investigates empirically the effect of market power on dynamic pricing in the presence of inventories. Our setting is the auto retail industry; we analyze how automotive dealerships adjust prices to inventory levels under varying degrees of market power. We first establish that inventory fluctuations create scarcity rents for cars that are in short supply. We then show that dealers’ ability to adjust prices in response to inventory depends on their market power, that is, the quantity of substitute inventory in their selling area. Specifically, we show that the slope of the price–inventory relationship (higher inventory lowers prices) is significantly steeper when dealers find themselves in a situation of high rather than low market power. A dealership with high market power moving from a situation of inventory shortage to a median inventory level lowers transaction prices by about 0.57% ceteris paribus, corresponding to 32.5% of dealers’ average per-vehicle profit margin or $145.6 on the average car. Conversely, when competition is more intense, moving from inventory shortage to a median inventory level lowers transaction prices by about 0.35% ceteris paribus, corresponding to 20.2% of dealers’ average per-vehicle profit margin or $90.9. To our knowledge, we are the first to empirically show that market power affects firms’ ability to dynamically price. This paper was accepted by Juanjuan Zhang, marketing."
/doi/10.1287/mnsc.2014.1932," A key concern about counterfeits and weak intellectual property protection is that they may hamper innovation by displacing legitimate sales. This paper combines a natural policy experiment with randomized lab experiments to estimate the heterogeneous impacts of counterfeiting on the sales and consumer purchase intent related to branded products of various quality levels. I collect new product-line-level panel data (1993–2004) on Chinese shoe companies. I identify heterogeneous effects of counterfeit entry on sales of authentic products of three quality tiers, finding that counterfeits have both advertising effects for a brand and substitution effects for authentic products, additionally the effects linger for some years. The advertising effect dominates the substitution effect for high-end authentic product sales, and the substitution effect outweighs the advertising effect for low-end product sales. The positive effect of counterfeits is most pronounced for high-fashion products (such as women's high-leg boots and dress shoes), shoes tailored to young customers, and high-end products of brands not yet well-known at the time of counterfeiter entry. This paper was accepted by David Hsu, entrepreneurship and innovation."
/doi/10.1287/inte.1110.0610," A large US retailer that procures transportation services from third-party carriers experienced an unexpected jump in fuel surcharges as the price of diesel fuel skyrocketed in the summer of 2008. As a result, it sought to limit its future exposure to diesel price risk. We collaborated with this retailer to create a lane assignment optimizer (LAO) that incorporates diesel price risk when selecting carriers for its transportation lanes. The LAO tool has significantly improved the retailer's capability to evaluate the trade-off between the two crucial components of a lane's per-shipment cost: base price and risk-adjusted fuel surcharge. The retailer can now take diesel price risk into account when selecting cost-effective carriers for its lanes, negotiating fuel surcharge limits to share diesel price risk with its carriers, and better aligning the fuel surcharges it pays with the true cost of diesel. We estimate that the more favorable contract terms the retailer negotiated for 2009–2011 translate to nearly $5 million in potential savings during years with unexpected diesel price hikes, such as 2008."
/doi/10.1287/mnsc.2017.2864," Prior studies attribute analysts’ forecast superiority over time-series forecasting models to their access to a large set of firm, industry, and macroeconomic information (an information advantage), which they use to update their forecasts on a daily, weekly or monthly basis (a timing advantage). This study leverages recently developed mixed data sampling (MIDAS) regression methods to synthesize a broad spectrum of high frequency data to construct forecasts of firm-level earnings. We compare the accuracy of these forecasts to those of analysts at short horizons of one quarter or less. We find that our MIDAS forecasts are more accurate and have forecast errors that are smaller than analysts’ when forecast dispersion is high and when the firm size is smaller. In addition, we find that combining our MIDAS forecasts with analysts’ forecasts systematically outperforms analysts alone, which indicates that our MIDAS models provide information orthogonal to analysts. Our results provide preliminary support for the potential to automate the process of forecasting firm-level earnings, or other accounting performance measures, on a high-frequency basis. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2864 . This paper was accepted by Mary Barth, accounting."
/doi/10.1287/inte.1080.0415," The US Environmental Protection Agency (EPA) is the lead federal agency for the security of drinking water in the United States. The agency is responsible for providing information and technical assistance to the more than 50,000 water utilities across the country. The distributed physical layout of drinking-water utilities makes them inherently vulnerable to contamination incidents caused by terrorists. To counter this threat, the EPA is using operations research to design, test, and deploy contamination warning systems (CWSs) that rapidly detect the presence of contaminants in drinking water. We developed a software tool to optimize the design process, published a decision-making process to assist utilities in applying the tool, pilot-tested the tool on nine large water utilities, and provided training and technical assistance to a larger group of utilities. We formed a collaborative team of industry, academia, and government to critique our approach and share CWS deployment experiences. Our work has demonstrated that a CWS is a cost-effective, timely, and capable method of detecting a broad range of contaminants. Widespread application of these new systems will significantly reduce the risks associated with catastrophic contamination incidents: the median estimated fatalities reduction for the nine utilities already studied is 48 percent; the corresponding economic-impact reduction is over $19 billion. Because of this operations research program, online monitoring programs, such as a CWS, are now the accepted technology for reducing contamination risks in drinking water."
/doi/10.1287/mksc.1090.0516," During the summer of 2005, the three domestic U.S. automobile manufacturers offered a customer promotion that allowed customers to buy new cars using discount programs formerly offered only to employees. The initial months of the promotion were record sales months for each of the three firms, suggesting that customers thought that the prices offered during the promotion were particularly attractive. In reality, however, many customers paid higher prices under the employee discount pricing promotion. We propose that the promotion changed customers' beliefs about current versus future prices, convincing them to purchase during the promotion rather than delay in anticipation of future discounts. We investigate several alternative explanations for the simultaneous increase in prices and sales, including advertising, decreased financing costs, industry trends, disutility of bargaining, consumer differences, and changes in trade-in values. None of these explanations fully explains the concomitant increase in prices and sales."
/doi/10.1287/mnsc.2013.1873," We examine the role of target firms’ accounting quality in the merger and acquisition process. We predict that target firm accounting quality will be positively associated with (1) the likelihood that the deal will be structured as a negotiation rather than as an auction, (2) the speed with which the deal reaches final resolution, and (3) the likelihood that the proposed deal is ultimately completed. Our empirical evidence is consistent with these predictions. These results complement and extend existing findings on target firm accounting quality and provide new evidence that financial accounting quality relates positively to the efficient allocation of the economy’s capital resources. This paper was accepted by Mary Barth, accounting ."
/doi/10.1287/mnsc.2014.2088," Relationship lending may create benefits for borrowers by reducing information asymmetries. However, empirical evidence is mixed. We conduct a meta-analysis to summarize and explain the heterogeneity in the results in the literature using hand-collected information from 101 studies in the United States, Europe, Asia, and Latin America from 1970 to 2010. We find that strong relationships are generally beneficial for borrowers, but lending outcomes differ across the relationships’ dimensions. Long-lasting, exclusive, and synergy-creating bank relationships are associated with higher credit volume and lower loan rates. These benefits are more likely in the United States and in countries where bank competition is high. They are not related to the importance of small and medium-sized enterprises in an economy, suggesting that prevalence of relationship lending does not necessarily come along with borrower benefits. Our inferences are robust when we control for observed systematic heterogeneity in the original studies and hold in a bootstrapping analysis. Data, as supplemental material, are available at http://dx.doi.org/10.1287/mnsc.2014.2088 . This paper was accepted by Wei Jiang, finance ."
/doi/10.1287/mnsc.2021.4089," We study anticompetitive horizontal mergers in a dynamic model with noisy collusion. At each instant, firms either privately choose output levels or merge to form a monopoly, trading off the benefits of avoiding price wars against the costs of merging. The potential to merge decreases pre-merger collusion, as punishments effected by price wars are weakened. We thus extend the result of Davidson and Deneckere [Davidson C, Deneckere R (1984) Horizontal mergers and collusive behavior. Internat. J. Indust. Organ. 2(2):117–132.], who analyzed the weakening of punishments post-merger, demonstrating that pre-merger collusion is weakened, in a fully stochastic model. Thus, although anticompetitive mergers harm competition ex post, the implication is that barriers and costs of merging due to regulation should be reduced to promote competition exante. This paper was accepted by Tomasz Piskorski, finance."
/doi/10.1287/isre.1080.0190," The interactive nature of the Internet promotes collaborative business models (e.g., auctions) and facilitates information-sharing via social networks. In Internet auctions, an important design option for sellers is the setting of a secret reserve price that has to be met by a buyer's bid for a successful purchase. Bidders have strong incentives to learn more about the secret reserve price in these auctions, thereby relying on their own network of friends or digital networks of users with similar interests and information needs. Information-sharing and flow in digital networks, both person-to-person and via communities, can change bidding behavior and thus can have important implications for buyers and sellers in secret reserve price auctions. This paper uses a multiparadigm approach to analyze the impact of information diffusion in social networks on bidding behavior in secret reserve price auctions. We first develop an analytical model for the effect of shared information on individual bidding behavior in a secret reserve price auction with a single buyer facing a single seller similar to eBay's Best Offer and some variants of NYOP. Next, we combine the implications from our analytical model with relational data that describe the individual's position in social networks. We empirically test the implications of our analytical model in a laboratory experiment, and examine the impact of information diffusion in social networks on bidding behavior in a field study with real purchases where we use a virtual world as proxy for the real world. We find that the amount and dispersion of information in the individualized context, and betweenness centrality in the social network context, have a significant impact on bidding behavior. Finally, we discuss the implications of our results for buyers and sellers."
