link,title,authors,journal,ym,year
/doi/10.1287/isre.2021.1044,The Societal Impact of Sharing Economy Platform Self-Regulations—An Empirical Investigation,Wencui Han ; ,Information Systems Research, (-Not available-),-1
/doi/10.1287/mnsc.2019.3396,"Owning, Using, and Renting: Some Simple Economics of the “Sharing Economy”",Apostolos Filippas ; ,Management Science, (September 2020),2020
/doi/10.1287/msom.2019.0803,Operations Management in the Age of the Sharing Economy: What Is Old and What Is New?,Saif Benjaafar ; ,Manufacturing & Service Operations Management, (January-February 2020),2020
/doi/10.1287/mksc.2018.1143,Competitive Dynamics in the Sharing Economy: An Analysis in the Context of Airbnb and Hotels,Hui Li ; ,Marketing Science, (May-June 2019),2019
/doi/10.1287/mnsc.2018.3273,Reducing Discrimination with Reviews in the Sharing Economy: Evidence from Field Experiments on Airbnb,Ruomeng Cui ; ,Management Science, (March 2020),2020
/doi/10.1287/msom.2021.0998,Introduction to the Special Issue on Sharing Economy and Innovative Marketplaces,Saif Benjaafar ; ,Manufacturing & Service Operations Management, (May–June 2021),2021
/doi/10.1287/mnsc.2020.3909,"Drivers, Riders, and Service Providers: The Impact of the Sharing Economy on Mobility",Saif Benjaafar ; ,Management Science, (-Not available-),-1
/doi/10.1287/isre.2021.1034,Business Models in the Sharing Economy: Manufacturing Durable Goods in the Presence of Peer-to-Peer Rental Markets,Vibhanshu Abhishek ; ,Information Systems Research, (-Not available-),-1
/doi/10.1287/msom.2016.0605,The Car Sharing Economy: Interaction of Business Model Choice and Product Line Design,Ioannis Bellos; ,Manufacturing & Service Operations Management, (Spring 2017),2017
/doi/10.1287/mnsc.2017.2970,"Peer-to-Peer Product Sharing: Implications for Ownership, Usage, and Social Welfare in the Sharing Economy",Saif Benjaafar ; ,Management Science, (February 2019),2019
/doi/10.1287/ited.2019.0207ca,Case Article—The Rise and Fall of Taxi Club Management in New York,Thompson S. H. Teo ; ,INFORMS Transactions on Education, (September 2019),2019
/doi/10.1287/msom.2020.0866,Competition Between Two-Sided Platforms Under Demand and Supply Congestion Effects, Fernando Bernstein  ; ,Manufacturing & Service Operations Management, (September–October 2021),2021
/doi/10.1287/msom.2020.0952,Dynamic Type Matching,Ming Hu ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/msom.2018.0769,Pricing and Matching with Forward-Looking Buyers and Sellers,Yiwei Chen; ,Manufacturing & Service Operations Management, (July–August 2020),2020
/doi/10.1287/mnsc.2020.3643,Making Marketplaces Safe: Dominant Individual Rationality and Applications to Market Design,Benjamin N. Roth ; ,Management Science, (June 2021),2021
/doi/10.1287/isre.2020.0978,The Deterrent Effect of Ride-Sharing on Sexual Assault and Investigation of Situational Contingencies,Jiyong Park ; ,Information Systems Research, (June 2021),2021
/doi/10.1287/msom.2021.1002,The Incentive Game Under Target Effects in Ridesharing: A Structural Econometric Analysis,Xirong Chen; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/serv.2020.0258,Frontiers in Service Science: Ride Matching for Peer-to-Peer Ride Sharing: A Review and Future Directions,Amirmahdi Tafreshian ; ,Service Science, (June–September 2020),2020
/doi/10.1287/msom.2017.0683,"Shared Mobility for Last-Mile Delivery: Design, Operational Prescriptions, and Environmental Impact",Wei Qi ; ,Manufacturing & Service Operations Management, (Fall 2018),2018
/doi/10.1287/isre.2020.0981,Mining Bilateral Reviews for Online Transaction Prediction: A Relational Topic Modeling Approach,Jiawei Chen ; ,Information Systems Research, (June 2021),2021
/doi/10.1287/mnsc.2016.2647,Collaborative Consumption: Strategic and Economic Implications of Product Sharing,Baojun Jiang; ,Management Science, (March 2018),2018
/doi/10.1287/msom.2020.0919,Manufacturer’s Entry in the Product-Sharing Market,Lin Tian ; ,Manufacturing & Service Operations Management, (May–June 2021),2021
/doi/10.1287/mksc.2020.1227,The Effect of Home-Sharing on House Prices and Rents: Evidence from Airbnb,Kyle Barron; ,Marketing Science, (January-February 2021),2021
/doi/10.1287/mnsc.2019.3550,The Last Mile Matters: Impact of Dockless Bike Sharing on Subway Housing Price Premium,Junhong Chu ; ,Management Science, (January 2021),2021
/doi/10.1287/serv.2020.0266,Integrating Price-Incentive and Trip-Selection Policies to Rebalance Shared Electric Vehicles,Zihao Jiao; ,Service Science, (December 2020),2020
/doi/10.1287/mksc.2021.1295,Frontiers: Can an Artificial Intelligence Algorithm Mitigate Racial Economic Inequality? An Analysis in the Context of Airbnb, Shunyuan   Zhang ; ,Marketing Science, (September-October 2021),2021
/doi/10.1287/opre.2019.1916,"Managing Supply in the On-Demand Economy: Flexible Workers, Full-Time Employees, or Both?",Jing Dong ; ,Operations Research, (July-August 2020),2020
/doi/10.1287/mnsc.2017.2963,Environmental Benefits of Internet-Enabled C2C Closed-Loop Supply Chains: A Quasi-Experimental Study of Craigslist,Suvrat Dhanorkar ; ,Management Science, (February 2019),2019
/doi/10.1287/opre.2021.2165,Pricing and Optimization in Shared Vehicle Systems: An Approximation Framework,Siddhartha Banerjee ; ,Operations Research, (-Not available-),-1
/doi/10.1287/trsc.2021.1066,Cost Allocation for Less-Than-Truckload Collaboration via Shipper Consortium,Minghui Lai ; ,Transportation Science, (-Not available-),-1
/doi/10.1287/mnsc.2020.3832,Optimal Growth in Two-Sided Markets,Zhen Lian ; ,Management Science, (November 2021),2021
/doi/10.1287/stsc.2021.0135,Market Orchestrators: The Effects of Certification on Platforms and Their Complementors, Joost Rietveld  ; ,Strategy Science, (September 2021),2021
/doi/10.1287/opre.2019.1869,"Knowledge Sharing and Learning Among Smallholders in Developing Economies: Implications, Incentives, and Reward Mechanisms",Shihong Xiao ; ,Operations Research, (March-April 2020),2020
/doi/10.1287/mnsc.2020.3794,Facilitating the Search for Partners on Matching Platforms, Yash   Kanoria  ; ,Management Science, (October 2021),2021
/doi/10.1287/msom.2016.0611,Service Region Design for Urban Electric Vehicle Sharing Systems,Long He; ,Manufacturing & Service Operations Management, (Spring 2017),2017
/doi/10.1287/inte.2019.1005,Analytics and Bikes: Riding Tandem with Motivate to Improve Mobility,Daniel Freund ; ,INFORMS Journal on Applied Analytics, (September-October 2019),2019
/doi/10.1287/mnsc.2020.3829,"Leasing, Modularity, and the Circular Economy",Vishal Agrawal ; ,Management Science, (November 2021),2021
/doi/10.1287/msom.2019.0851,Charging an Electric Vehicle-Sharing Fleet,Long He ; ,Manufacturing & Service Operations Management, (March–April 2021),2021
/doi/10.1287/msom.2018.0734,Robust Repositioning for Vehicle Sharing,Long He ; ,Manufacturing & Service Operations Management, (March-April 2020),2020
/doi/10.1287/msom.2020.0875,Inventory Sharing and Demand-Side Underweighting, Hui Zhao  ; ,Manufacturing & Service Operations Management, (September–October 2021),2021
/doi/10.1287/msom.2019.0855,On the Values of Vehicle-to-Grid Electricity Selling in Electric Vehicle Sharing,Yiling Zhang ; ,Manufacturing & Service Operations Management, (March–April 2021),2021
/doi/10.1287/isre.1050.0053,The Economic Incentives for Sharing Security Information,Esther Gal-Or; ,Information Systems Research, (June 2005),2005
/doi/10.1287/msom.2017.0699,OM Forum—New Opportunities for Operations Management Research in Sustainability,Vishal V. Agrawal ; ,Manufacturing & Service Operations Management, (Winter 2019),2019
/doi/10.1287/mksc.14.3.G203,The Quality of Economic Output: Empirical Generalizations About Its Distribution and Relationship to Market Share,Claes Fornell; ,Marketing Science, (August 1995),1995
/doi/10.1287/orsc.2015.1040,How to Share “A Really Good Secret”: Managing Sharing/Secrecy Tensions Around Scientific Knowledge Disclosure,Andrew J. Nelson; ,Organization Science, (March-April 2016),2016
/doi/10.1287/msom.2020.0960,Surge Pricing and Two-Sided Temporal Responses in Ride Hailing,Bin Hu ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/trsc.2019.0933,An Integrated Choice and Latent Variable Model to Explore the Influence of Attitudinal and Perceptual Factors on Shared Mobility Choices and Their Value of Time Estimation,Weibo Li ; ,Transportation Science, (January-February 2020),2020
/doi/10.1287/mnsc.2019.3525,When Transparency Fails: Bias and Financial Incentives in Ridesharing Platforms,Jorge Mejia ; ,Management Science, (January 2021),2021
/doi/10.1287/msom.2015.0525,OM Forum—The Service and Information Economy: Research Opportunities,Uday Karmarkar; ,Manufacturing & Service Operations Management, (Spring 2015),2015
/doi/10.1287/mnsc.2018.3275,"A Research Framework for Business Models: What Is Common Among Fast Fashion, E-Tailing, and Ride Sharing?",Gérard P. Cachon ; ,Management Science, (March 2020),2020
/doi/10.1287/mnsc.19.10.1189,A Model to Study Revenue Sharing and Account for Regionalized Economic Activity and Social Goals,A. Charnes; ,Management Science, (June 1973),1973
/doi/10.1287/trsc.2016.0675,50th Anniversary Invited Article—City Logistics: Challenges and Opportunities,Martin Savelsbergh; ,Transportation Science, (May 2016),2016
/doi/10.1287/serv.2018.0207,A Framework for Increasing Sustainability in Services,Mark M. Davis; ,Service Science, (June 2018),2018
/doi/10.1287/mnsc.2014.2127,Information Sharing in a Supply Chain with a Common Retailer,Weixin Shang; ,Management Science, (January 2016),2016
